"feature","%IncMSE","IncNodePurity"
"dim2","7.95542805167768","6.05113252324405"
"dim3","7.50264026845584","5.47451913277662"
"dim4","6.3634977352583","4.48406201444152"
"dim5","8.61654779133939","6.96070766319613"
"dim6","4.41115306118644","2.43626319230309"
"dim7","4.86273945809739","2.59316172450565"
"dim8","4.35421392489105","1.91878633332873"
"dim9","4.07467571823302","1.54905788770087"
"dim10","4.1068210974497","1.68560450958931"
"dim11","2.52831859479602","1.3041170702952"
"dim12","6.27583031096585","4.33544772504505"
"dim13","5.90155419673763","4.06516615847575"
"dim14","4.61825075922823","2.09539328449501"
"dim15","5.26282273948614","3.17969496729153"
"dim16","3.86625795780004","1.84010031566921"
"dim17","6.61936822618787","4.27065963025482"
"dim18","7.45074512337474","5.39647117050329"
"dim19","3.91026028018115","1.26710461479308"
"dim20","3.23305898244203","1.73453522045898"
"dim21","4.36140578363577","2.48816755440721"
"dim22","6.20887367038744","4.16729239437609"
"dim23","5.20051878294182","3.0690415997976"
"dim24","2.32851140230177","1.4837938770747"
"dim25","0.399744189133302","0.593844920343598"
"dim27","2.06227968930989","0.47021436523774"
"dim28","0.331270293360036","0.46656694595654"
"dim29","0.88488557956055","0.214532040589873"
"dim30","1.94572535213725","0.959123964501724"
"dim32","1.20107524228764","0.408247062560826"
"dim33","1.06575247360572","0.378982838722343"
"dim34","2.28051279018702","0.206723645540256"
"dim36","1.35016571235193","0.379256372982733"
"dim37","1.43352368324381","0.729667865369234"
"dim38","0.51300392919372","0.658148638391656"
"dim39","0.382645667406765","0.3653726514245"
"dim40","0.48043953820553","0.412541245781408"
"dim41","0.959473886715943","0.321279615131683"
"dim42","1.8861634085482","0.282287153902005"
"dim44","0.367647150725508","0.0566168097663041"
"dim45","0.854226318479201","0.307718874235502"
"dim48","2.17134820267661","0.706986871691914"
"dim49","0.528776798889269","0.211284180649932"
"dim50","1.05137300053428","0.247060339157788"
"dim51","1.2843930862744","0.0522753103691079"
"dim52","0.291302827794715","0.0965864443094896"
"dim53","2.51893296618442","0.296396811915522"
"dim54","0.956070680394849","0.126347757889972"
"dim55","1.26026233384955","0.25917207400633"
"dim56","0.412246786726118","0.113393979740543"
"dim57","0.0844846909112676","0.0663947147946789"
"dim58","0.570517945640422","0.34261275608174"
"dim59","0.879934905736113","0.168682533655191"
"dim61","0.648513639684787","0.131416408188223"
"dim63","2.01977205942796","0.39028454899576"
"dim64","0.925592404919557","0.210417009669465"
"dim65","0.534714532310843","0.112034923553018"
"dim66","0.500653033071455","0.157731218388566"
"dim68","1.66218208143923","0.145602914542691"
"dim70","1.04562222524135","0.471859914782481"
"dim71","0.801713103777293","0.265341293564985"
"dim72","1.09639705400638","0.113039804899573"
"dim75","0.435235496057403","0.0983353010934443"
"dim77","0.042692871727453","0.0746669327907644"
"dim78","0.332534611192719","0.338801998768518"
"dim79","1.56256118144808","0.311349592154424"
"dim82","0.539888882408407","0.0402973773256542"
"dim84","0.487576502876794","0.116147213256574"
"dim85","1.99915789868591","0.0691752046101373"
"dim88","0.420241303774736","0.136597760444071"
"dim89","1.57975851805366","0.0993000573500158"
"dim92","1.67807398902102","0.0613042324127005"
"dim93","1.65043996453824","0.0880358581534779"
"dim95","0.180900577268618","0.0397158447217767"
"dim96","0.46801251103354","0.0256809742901627"
"dim97","0.376911013111057","0.0881488174039152"
"dim98","0.354656283994166","0.0581240904827137"
"dim100","0.501156527312914","0.0343612671280582"
"dim104","0.901868079292388","0.0150025240988349"
"dim105","0.562999024951051","0.0274779585455363"
"dim110","1.04583272052712","0.0240093641107463"
"dim111","0.909207753698274","0.0735151676594402"
"dim112","0.763884219632057","0.151666599849257"
"dim113","0.67352662014864","0.0520871413446419"
"dim115","1.60623461444097","0.0353039128781846"
"dim116","0.16386582805342","0.0559526165698981"
"dim117","1.59659274224481","0.0717630911241192"
"dim118","0.916662112075526","0.0326384662782202"
"dim119","1.07357780764994","0.12613977795737"
"dim120","0.403356817250833","0.0977626067168629"
"dim121","0.477260216118239","0.0566660242271422"
"dim122","0.704192086780609","0.0282884179913814"
"dim123","0.457619859508492","0.0242786387965185"
"dim124","1.91008024452334","0.0597416279059314"
"dim126","0.20099638865893","0.0308246712684909"
"dim127","0.744971303625163","0.0695497702906807"
"dim131","0.337478747724941","0.0174325187654175"
"dim138","0.132961049647834","0.0539933318893774"
"dim139","0.904702921641492","0.0797639619720386"
"dim140","1.38777546158836","0.0245807744062251"
"dim141","1.37631793281787","0.0257137327657176"
"dim142","0.833256066473099","0.037644081326092"
"dim143","0.810080574152794","0.0290742148738052"
"dim144","0.887958743845455","0.0461923257960912"
"dim148","0.18911914490611","0.0429943144594946"
"dim151","0.285606241153802","0.0652516692043795"
"dim153","0.575165686713183","0.126090269425669"
"dim154","0.574949626402868","0.0291225553456"
"dim155","1.12710436400225","0.0614903196837336"
"dim157","0.599241061536734","0.063766561587837"
"dim158","1.96839772651764","0.0478289742720486"
"dim159","0.78394386435142","0.0524486653844769"
"dim162","1.2537783534751","0.078234039366287"
"dim165","1.4295298411676","0.126076290587243"
"dim166","1.58869353496587","0.0432098798437995"
"dim171","0.876334800269236","0.0442315250225633"
"dim173","1.66713860614476","0.0658058349156202"
"dim174","0.281610527187872","0.049419371058624"
"dim175","0.0992662549007782","0.252763021852307"
"dim176","0.910522614583283","0.142377182282008"
"dim178","1.23239624598516","0.0283828991877657"
